gene	Cardiomyocyte	Chondrocyte	Choroid plexus	Dorsal midbrain neuron	Endothelial cell	Epithelial cell	Erythrocyte	Facial fibroblast	Fibroblast	Forebrain neuron	Forebrain radial glia cell	Ganglion	Hepatocyte	Immune cell	Keratinocyte	Limb fibroblast	Macrophage	Meninges cell	Mid-/hindbrain and spinal cord neuron	Myoblast	Olfactory epithelial cell	Radial glia cell	Smooth muscle cell	Spinal cord neuron	Thalamus neuron
Cpa3	3.03315e-05	2.72528e-05	1.45619e-05	2.53549e-05	6.28417e-05	3.24392e-05	4.92473e-06	2.4827e-05	0.00199881	4.6015e-05	2.05003e-05	2.77866e-05	3.07448e-05	2.93571e-05	0.000520339	3.15688e-05	7.10154e-05	1.89202e-05	2.04281e-05	3.14744e-05	2.35518e-05	1.48462e-05	2.09169e-05	2.43994e-05	3.2415e-05
Cpa6	2.89588e-06	5.94556e-05	0	1.21215e-05	3.49508e-05	6.10129e-05	6.06173e-06	0.000153129	0.000171464	2.83162e-05	1.32661e-05	2.39886e-05	1.4072e-06	3.82123e-05	0.000195007	4.46406e-05	8.70794e-05	1.33521e-05	1.84484e-05	1.36645e-05	1.24479e-05	1.27988e-05	2.98789e-05	1.6008e-05	2.17993e-05
Cps1	2.57855e-06	1.77301e-05	3.0523e-06	2.00927e-05	3.56259e-05	0.000977842	1.13824e-05	1.93875e-05	1.78905e-05	1.66248e-05	2.22538e-05	2.5766e-05	4.72853e-05	2.27933e-05	2.90441e-05	1.73213e-05	4.0409e-05	1.96434e-05	1.39759e-05	1.41957e-05	4.5791e-05	7.24292e-06	9.87946e-05	2.60918e-05	1.39986e-05
Crct1	2.53927e-06	2.94909e-06	0	9.7139e-06	7.47719e-06	1.45694e-05	2.39569e-06	3.0701e-06	4.59565e-06	2.9648e-06	5.21145e-06	5.25808e-06	1.10814e-06	1.29619e-06	0.000270273	6.99373e-07	4.98381e-06	4.25547e-06	9.04694e-06	2.35091e-06	4.89047e-06	1.94383e-05	3.66127e-06	8.19808e-06	3.68935e-06
Creb5	0.000500704	0.000629711	2.20676e-05	5.73939e-05	0.000748439	0.000460609	9.24406e-05	0.00094394	0.00125756	9.15213e-05	0.000959826	0.000255204	2.30664e-05	0.000158816	0.000299272	0.00207843	0.00058974	0.00050399	7.59737e-05	0.000551584	0.000299537	0.000291389	0.000304778	4.44582e-05	4.43333e-05
Crmp1	0.0002219	0.000436404	0.000210824	0.00672438	0.000468766	0.000713234	0.000256354	0.00033816	0.000493941	0.00619704	0.00262434	0.00533114	0.000161199	0.000514767	0.000469547	0.00031007	0.000450879	0.000795275	0.00521123	0.000247765	0.00328334	0.00281841	0.000541138	0.00561846	0.00779887
Cryab	0.0027822	0.00037456	0.000185158	0.000151308	0.000318077	0.000450677	0.000209547	0.000228052	0.000506982	0.000125858	0.000223209	0.000285512	9.14263e-05	0.000242186	0.000420881	0.000285473	0.000642508	0.000483061	0.000118491	0.00307062	0.000868077	0.000196518	0.00048557	0.00012409	0.000139964
Cryba4	6.81938e-06	1.16257e-05	0	5.24051e-06	4.34305e-06	2.66876e-05	8.82945e-06	7.53516e-06	3.19855e-05	1.04187e-05	1.19377e-05	2.11367e-05	2.41264e-06	1.65741e-05	2.74494e-05	5.90469e-06	0.000138244	2.38009e-05	7.16808e-06	1.29181e-05	2.20235e-05	1.82456e-05	1.31323e-05	3.41471e-06	4.80823e-06
Csgalnact1	6.97915e-05	0.000697508	0.000131888	2.98635e-05	0.000939982	0.000212024	5.86386e-05	0.000271831	0.000230466	4.685e-05	6.26529e-05	0.000118094	1.51826e-05	5.72584e-05	0.000196233	0.000777351	0.000215101	0.000171447	8.05832e-05	0.000302129	3.82324e-05	0.00018421	0.000124719	6.21642e-05	1.15938e-05
Csmd1	4.35653e-05	0.000139075	9.26584e-05	0.00101045	0.000156848	0.00018287	6.1681e-05	0.000247991	0.000166833	0.000438952	0.000977969	0.0013995	2.58857e-05	8.56682e-05	0.000146335	0.000201808	0.000175603	0.000177676	0.00274973	0.000323832	0.000443382	0.00240721	0.000153478	0.00221434	0.000560542
Csmd2	2.08376e-05	4.58727e-05	5.16195e-06	0.000579846	5.97871e-05	7.20435e-05	1.80321e-05	6.24814e-05	5.0158e-05	0.000196668	0.000339985	0.000297888	1.16183e-05	3.81597e-05	7.03737e-05	7.63076e-05	6.70018e-05	8.37935e-05	0.00062979	3.91765e-05	0.000199879	0.000307407	6.08694e-05	0.000539036	0.000454387
Csmd3	3.86017e-05	0.000663662	3.59238e-05	0.000899581	0.000202578	0.000178039	5.40772e-05	0.000309828	0.000350064	0.000301524	0.000123372	0.000653552	2.56903e-05	0.00012991	8.04379e-05	0.000876383	0.000205529	0.000364509	0.00206394	7.87875e-05	0.000128253	0.000589847	0.000172273	0.000775755	0.000854712
Csn1s2b	0	1.91611e-06	0	0	3.17123e-06	1.77397e-06	0	6.31259e-07	3.90681e-06	1.6737e-06	0	3.22896e-06	0	0	3.29152e-06	1.20346e-06	0	4.88295e-06	1.15844e-06	1.23293e-05	0	1.24888e-06	0	0	0
Csrp3	0.00417173	0.000235242	0.000127359	0.000157766	0.000208768	0.000326966	0.00017223	0.000194434	0.000304845	0.000146731	0.000213296	0.00018451	9.66088e-05	0.000137999	0.000259407	0.000239108	0.000369837	0.000190856	0.000122286	0.0019331	0.000208356	0.000184313	0.000196944	0.000107417	0.000136103
Cst7	0	4.25292e-06	0	7.15571e-06	8.14868e-07	7.22558e-06	1.838e-06	9.54334e-06	2.77506e-05	0	3.11447e-06	0	8.97666e-06	2.11527e-05	6.14846e-06	3.5391e-06	1.4813e-05	1.09179e-05	2.33106e-06	6.13561e-06	4.95043e-06	8.76685e-07	2.72084e-06	6.87021e-07	0
Cstad	8.4207e-06	1.35479e-05	7.63642e-06	1.05859e-05	0	1.65421e-05	2.90098e-06	9.87836e-06	9.44401e-06	9.44909e-06	4.37991e-06	9.79215e-06	1.9928e-06	2.99316e-06	4.61508e-06	2.43352e-05	4.34269e-06	5.01239e-06	5.60905e-06	1.16094e-05	1.10087e-05	1.09502e-05	1.31519e-05	3.73652e-06	4.34699e-06
Ctnna2	7.64637e-05	0.000372653	9.2633e-05	0.00410317	0.000693552	0.000440639	0.000154873	0.00068909	0.000563181	0.00337098	0.00319875	0.00246862	6.12278e-05	0.000212143	0.000274574	0.000289786	0.000541465	0.00112624	0.00468713	0.000152017	0.0024986	0.00248344	0.000500613	0.00374469	0.00385036
Ctnna3	0.00285536	0.00016391	3.97407e-05	0.000106244	0.000297108	0.000196861	6.32265e-05	0.000491964	0.000206137	0.000254216	0.000114091	0.000447192	2.6715e-05	7.77418e-05	0.000107943	0.00017593	0.000156113	0.000148929	0.000671687	0.00192484	0.000101012	0.0013171	0.00043841	0.000424335	0.00017653
Ctnnd2	7.18349e-05	0.000311982	8.26883e-05	0.0016955	0.000267456	0.000743121	0.00012424	0.000296665	0.000259447	0.00235463	0.00213153	0.0016323	7.33119e-05	0.000186782	0.000513574	0.000446195	0.00027925	0.000408096	0.00253049	0.000142467	0.00195136	0.00163511	0.000329152	0.00199124	0.00249014
Ctrb1	5.12949e-07	3.91799e-05	3.20451e-06	8.68392e-06	4.2757e-06	0.000256472	2.72563e-05	9.19638e-06	1.50086e-05	6.26431e-06	2.48674e-05	9.36813e-06	1.05398e-05	2.89957e-05	1.06253e-05	6.57749e-06	3.70178e-05	1.2906e-05	7.12606e-06	1.17909e-05	9.38313e-06	8.85415e-06	3.10335e-05	7.89353e-06	7.18981e-06
Ctrl	7.87192e-07	2.69043e-06	0	0	4.12575e-06	7.50379e-06	0	5.86716e-06	5.04943e-06	9.18085e-06	8.40055e-06	1.38054e-05	0	0	1.91836e-06	2.70269e-06	0	0	8.73438e-06	1.21425e-06	1.5046e-05	2.45618e-06	0	6.27233e-06	1.10092e-05
Ctsk	2.96603e-05	0.000582445	4.08988e-05	4.98343e-05	0.000251217	0.000155143	6.40353e-05	0.000193945	0.000494877	5.24614e-05	5.73187e-05	9.09346e-05	2.14799e-05	0.000130634	0.000228708	0.000266966	0.000314658	0.000343228	3.76637e-05	0.000146966	6.31897e-05	7.847e-05	0.000155884	4.46181e-05	4.6013e-05
Ctxn3	0	1.70579e-06	2.20034e-06	0	1.75319e-06	1.75356e-05	1.98384e-06	7.4779e-06	6.4e-06	5.81831e-06	8.24373e-06	2.91182e-06	0	2.02049e-06	3.16891e-06	1.14428e-06	6.42333e-06	4.88237e-05	6.54709e-06	5.45089e-06	0.000417505	1.60651e-05	7.86535e-06	2.51146e-06	0
Cubn	7.64092e-06	1.4888e-05	4.79822e-06	9.88459e-06	1.91871e-05	6.98636e-05	3.76311e-06	2.52407e-05	1.87193e-05	3.51808e-06	1.33876e-05	9.39042e-06	2.85341e-06	3.56567e-06	9.83904e-06	1.08188e-05	1.80061e-05	0.000125672	1.44614e-05	1.27366e-05	4.43801e-05	4.43745e-05	1.94486e-05	1.32922e-05	2.99575e-05
Cxcl10	1.71557e-06	9.9063e-07	0	0	3.15019e-06	2.06777e-05	1.85677e-06	9.78764e-06	1.10332e-05	0	6.20864e-06	1.11827e-05	4.35733e-06	7.01223e-06	1.63146e-06	5.98186e-06	1.29883e-05	2.44733e-06	9.24873e-07	2.4443e-06	3.85734e-06	0	5.94196e-06	3.96139e-06	0
Cxcl13	3.31484e-05	1.9609e-05	0	9.75446e-06	2.22277e-05	5.95775e-05	2.22551e-05	2.51128e-05	0.000157822	8.89923e-06	1.28685e-05	2.08037e-05	4.78365e-06	2.84368e-05	8.31316e-06	2.04912e-05	0.000115742	2.32008e-05	7.19327e-06	2.03724e-05	2.69024e-05	1.26353e-05	0.000169636	4.17603e-06	5.46723e-06
Cxcl14	5.44529e-05	0.000196346	1.49475e-05	0.000114552	0.000310709	0.00166586	5.66857e-05	0.00147176	0.000318312	0.000178683	0.000134855	0.000119519	4.88525e-05	0.000111793	0.00296373	0.000302036	0.000328714	0.000132407	7.14431e-05	0.000113204	9.64116e-05	8.47216e-05	0.000185961	7.03101e-05	6.6774e-05
Cxcl15	0	5.93033e-06	0	0	9.16539e-07	4.99508e-05	1.44411e-06	1.29841e-06	4.20519e-06	7.63931e-07	0	0	1.4665e-06	0	0	5.46778e-06	1.5074e-06	0	8.34503e-07	7.00484e-07	0	1.73725e-06	8.08356e-06	5.14223e-07	0
Cyb5r2	1.00541e-05	4.02814e-06	0	6.92625e-06	8.10654e-06	2.69426e-06	1.49383e-06	4.44868e-06	3.10902e-06	1.20611e-06	0	0	7.12357e-07	0	1.04684e-05	4.57524e-06	9.28865e-06	4.11423e-06	1.58053e-06	1.4665e-05	0	6.9164e-06	7.69071e-06	0	1.87892e-06
Cybb	2.27218e-05	1.19068e-05	2.4582e-05	1.03632e-05	2.78719e-05	2.55639e-05	1.64459e-05	2.84645e-05	2.6959e-05	5.84612e-06	1.10962e-05	1.25442e-05	3.76605e-05	0.000200607	9.71961e-06	1.54657e-05	0.000244601	2.0741e-05	4.81733e-06	2.2742e-05	1.03522e-05	6.60329e-06	2.46654e-05	3.43549e-06	1.14281e-05
Cyp11a1	7.34524e-06	1.98702e-05	9.02737e-06	1.2389e-05	5.3822e-05	0.000552969	3.46988e-05	1.79915e-05	7.62841e-05	8.22296e-06	1.74609e-05	3.55059e-05	9.16506e-06	3.07756e-05	4.40235e-05	1.52086e-05	2.92718e-05	1.99207e-05	1.65735e-05	2.08949e-05	3.67403e-06	2.57174e-05	6.33415e-05	7.59764e-05	1.72983e-05
Cyp11b1	4.12611e-06	5.23414e-06	4.44554e-06	2.91793e-06	9.62178e-06	0.00032012	1.91402e-05	1.04877e-05	9.96172e-06	2.94287e-06	6.85755e-06	4.80248e-06	1.96589e-06	3.11565e-05	5.46289e-06	6.08643e-07	1.51201e-05	1.13014e-05	5.7408e-06	6.40221e-06	4.66746e-06	1.27806e-05	2.54432e-05	2.76274e-05	2.73717e-06
Cyp21a1	2.44912e-06	9.678e-06	1.13165e-05	8.41298e-07	1.59652e-05	0.000242036	2.31333e-05	5.1088e-06	1.04552e-05	5.10783e-06	1.22017e-05	5.72475e-06	3.39645e-06	4.9438e-05	6.81887e-06	8.33054e-06	1.4996e-05	7.61315e-06	6.14944e-06	6.55396e-06	2.24021e-06	5.9332e-06	2.45225e-05	3.42427e-05	2.42872e-06
Cyp26a1	4.9316e-07	1.6947e-05	0	1.60234e-06	4.54234e-06	2.8145e-05	4.01705e-06	1.15905e-05	4.35914e-05	2.97115e-06	1.25373e-05	0	9.5104e-07	5.97464e-07	5.98969e-06	4.59719e-05	1.06791e-05	8.03418e-07	1.15732e-06	6.42243e-06	3.31383e-06	5.9743e-06	6.82259e-06	0	0
Cyp2f2	3.95717e-06	1.47603e-05	0	2.31223e-05	1.92385e-05	0.000423479	7.99999e-06	8.76929e-06	1.41735e-05	3.73866e-06	6.9076e-06	1.41217e-05	9.10469e-06	2.48386e-05	0.000210682	1.61899e-05	2.2399e-05	1.45617e-05	6.86322e-06	1.18151e-05	0.000278299	8.83606e-06	2.78852e-05	6.12061e-06	8.43525e-06
Cyp2r1	1.42036e-05	3.55307e-05	1.84118e-05	1.35673e-05	1.66912e-05	3.76851e-05	6.86892e-06	2.91007e-05	2.38868e-05	4.56713e-06	1.09192e-05	1.34793e-05	2.65137e-06	7.38384e-06	1.96554e-05	2.517e-05	3.57092e-05	2.94105e-05	1.43374e-05	1.36923e-05	2.70718e-05	1.52164e-05	3.17681e-05	2.42365e-05	1.05056e-05
Cysrt1	1.03563e-05	1.16464e-05	6.38754e-06	8.01573e-06	3.78705e-06	2.53661e-05	7.15326e-06	8.81991e-06	1.40001e-05	8.66754e-06	9.06552e-06	9.25318e-06	5.20529e-06	9.59265e-06	0.000746669	1.43971e-05	1.31445e-05	2.02692e-06	7.95899e-06	9.13615e-06	0	1.2895e-05	7.13746e-06	1.45319e-05	1.51239e-05
Cytl1	3.72315e-05	0.00207964	6.62595e-06	4.66215e-05	2.7897e-05	7.09015e-05	1.61407e-05	3.28838e-05	7.5415e-05	5.43836e-05	3.54209e-05	4.13299e-05	1.9964e-05	3.50769e-05	5.46168e-05	0.000120633	7.77298e-05	5.79546e-05	2.68308e-05	4.12553e-05	3.42987e-05	2.36574e-05	8.66099e-05	3.22855e-05	2.8162e-05
D030034A15Rik	0	1.80435e-06	0	0	1.23563e-05	1.22167e-06	3.63717e-06	1.06151e-05	5.00977e-06	6.84055e-06	8.15104e-06	5.61696e-06	1.12818e-07	0	1.54377e-06	3.13131e-06	3.13328e-06	4.40612e-06	8.11953e-06	3.64706e-06	7.39291e-06	1.0419e-05	4.56265e-06	8.48426e-06	3.80523e-06
D030068K23Rik	1.4828e-05	4.80297e-05	4.7696e-06	0.000408312	3.46229e-05	7.34519e-05	2.25248e-05	5.57706e-05	6.05149e-05	0.000818934	0.0002584	0.000480842	1.57661e-05	5.15892e-05	3.10521e-05	3.76701e-05	5.69191e-05	0.000107025	0.000824164	3.28095e-05	0.000288458	0.000641067	5.31755e-05	0.00117957	0.00020589
D130079A08Rik	1.7799e-06	1.043e-05	6.35245e-06	0.000442219	5.53535e-06	1.26488e-05	6.60311e-06	1.98858e-05	8.89605e-06	1.43269e-05	1.97703e-05	0.000215026	3.04023e-06	1.45309e-05	1.9957e-05	1.2715e-05	7.76466e-06	2.1256e-05	9.04618e-05	4.73125e-06	2.7689e-05	3.65765e-05	4.51639e-06	6.65177e-05	1.50735e-05
D630023F18Rik	6.9524e-07	2.17607e-06	2.1834e-05	1.78669e-06	6.73931e-06	9.75287e-06	1.9763e-06	7.91116e-07	1.54835e-06	6.69851e-06	8.36564e-06	9.67191e-06	2.82302e-06	1.44719e-05	5.63285e-06	0	2.33092e-06	2.05711e-06	1.19871e-05	1.83772e-06	0	9.97036e-06	5.21713e-07	2.57615e-06	1.41854e-06
D630039A03Rik	1.85321e-06	3.11012e-06	0	9.06357e-06	9.15345e-06	5.82546e-05	1.6515e-06	4.33182e-06	3.75344e-06	0	2.99182e-06	1.7563e-06	6.80852e-07	1.95948e-06	0	2.25087e-06	0	1.32148e-06	1.49281e-06	2.24713e-06	1.76775e-06	1.91051e-05	1.63984e-05	1.86194e-06	1.63254e-06
D830024N08Rik	1.38294e-05	5.37298e-06	9.28687e-06	1.41863e-05	4.38886e-06	4.07183e-06	1.37102e-06	5.47983e-06	4.77199e-06	2.24814e-06	8.59707e-06	0	6.18144e-07	5.3653e-06	6.55186e-06	1.24197e-05	3.48429e-06	7.50334e-06	9.91714e-06	5.85068e-05	0	2.64192e-06	5.82733e-06	8.58625e-06	0
D930030I03Rik	4.29137e-06	4.39373e-06	1.45282e-05	1.40776e-06	4.95905e-06	4.62982e-06	2.17294e-06	2.34589e-06	6.80736e-06	9.01248e-06	3.81441e-06	9.32177e-06	1.8454e-06	2.10967e-06	4.91607e-06	6.51258e-06	0	2.78434e-06	7.84755e-06	6.69719e-06	2.45018e-06	4.06098e-06	2.84408e-06	8.40968e-06	1.19899e-05
